Macrotrends Data Download

CME Euro FX Futures #1 (EC1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1999-01-04,1.1866
1999-01-05,1.1820
1999-01-06,1.1642
1999-01-07,1.1749
1999-01-08,1.1629
1999-01-11,1.1523
1999-01-12,1.1586
1999-01-13,1.1688
1999-01-14,1.1742
1999-01-15,1.1622
1999-01-19,1.1643
1999-01-20,1.1586
1999-01-21,1.1630
1999-01-22,1.1616
1999-01-25,1.1584
1999-01-26,1.1589
1999-01-27,1.1459
1999-01-28,1.1446
1999-01-29,1.1391
1999-02-01,1.1336
1999-02-02,1.1371
1999-02-03,1.1341
1999-02-04,1.1355
1999-02-05,1.1285
1999-02-08,1.1344
1999-02-09,1.1308
1999-02-10,1.1363
1999-02-11,1.1249
1999-02-12,1.1296
1999-02-16,1.1217
1999-02-17,1.1251
1999-02-18,1.1216
1999-02-19,1.1075
1999-02-22,1.1047
1999-02-23,1.1027
1999-02-24,1.1018
1999-02-25,1.1085
1999-02-26,1.1067
1999-03-01,1.0947
1999-03-02,1.0977
1999-03-03,1.0947
1999-03-04,1.0876
1999-03-05,1.0880
1999-03-08,1.0943
1999-03-09,1.0944
1999-03-10,1.1006
1999-03-11,1.1084
1999-03-12,1.0957
1999-03-15,1.0989
1999-03-16,1.1051
1999-03-17,1.1055
1999-03-18,1.1021
1999-03-19,1.0938
1999-03-22,1.0964
1999-03-23,1.0958
1999-03-24,1.0942
1999-03-25,1.0883
1999-03-26,1.0813
1999-03-29,1.0784
1999-03-30,1.0762
1999-03-31,1.0802
1999-04-01,1.0833
1999-04-05,1.0756
1999-04-06,1.0884
1999-04-07,1.0816
1999-04-08,1.0784
1999-04-09,1.0845
1999-04-12,1.0866
1999-04-13,1.0811
1999-04-14,1.0838
1999-04-15,1.0742
1999-04-16,1.0753
1999-04-19,1.0671
1999-04-20,1.0664
1999-04-21,1.0656
1999-04-22,1.0650
1999-04-23,1.0646
1999-04-26,1.0619
1999-04-27,1.0698
1999-04-28,1.0655
1999-04-29,1.0621
1999-04-30,1.0613
1999-05-03,1.0606
1999-05-04,1.0661
1999-05-05,1.0773
1999-05-06,1.0840
1999-05-07,1.0769
1999-05-10,1.0824
1999-05-11,1.0737
1999-05-12,1.0672
1999-05-13,1.0686
1999-05-14,1.0672
1999-05-17,1.0688
1999-05-18,1.0705
1999-05-19,1.0676
1999-05-20,1.0646
1999-05-21,1.0594
1999-05-24,1.0606
1999-05-25,1.0620
1999-05-26,1.0507
1999-05-27,1.0493
1999-05-28,1.0464
1999-06-01,1.0523
1999-06-02,1.0421
