Macrotrends Data Download

ICE US Dollar Index Futures #1 (DX1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1998-03-19,99.8200
1998-03-20,99.5600
1998-03-23,99.3700
1998-03-24,99.4400
1998-03-25,99.1700
1998-03-26,98.7500
1998-03-27,99.3600
1998-03-30,100.3900
1998-03-31,100.5900
1998-04-01,100.7900
1998-04-02,100.9100
1998-04-03,100.8800
1998-04-06,100.5700
1998-04-07,100.2600
1998-04-08,99.0800
1998-04-09,99.4400
1998-04-13,99.4700
1998-04-14,98.5200
1998-04-15,98.7100
1998-04-16,98.8700
1998-04-17,98.9800
1998-04-20,98.8200
1998-04-21,98.3400
1998-04-22,98.4500
1998-04-23,98.7000
1998-04-24,98.5500
1998-04-27,98.5000
1998-04-28,98.7600
1998-04-29,98.9000
1998-04-30,98.8700
1998-05-01,98.4000
1998-05-04,98.4300
1998-05-05,97.7700
1998-05-06,97.9700
1998-05-07,98.1000
1998-05-08,98.1800
1998-05-11,98.4700
1998-05-12,98.5700
1998-05-13,98.7400
1998-05-14,98.8300
1998-05-15,99.1500
1998-05-18,99.3900
1998-05-19,99.3300
1998-05-20,98.7400
1998-05-21,98.0600
1998-05-22,98.2700
1998-05-26,98.9300
1998-05-27,99.3700
1998-05-28,99.5000
1998-05-29,99.7100
1998-06-01,99.5000
1998-06-02,99.4400
1998-06-03,99.0900
1998-06-04,98.7900
1998-06-05,99.4600
1998-06-08,99.7200
1998-06-09,99.6500
1998-06-10,100.5100
1998-06-11,101.2400
1998-06-12,101.2400
1998-06-15,101.5700
1998-06-16,100.6200
1998-06-17,99.2300
1998-06-18,99.8100
1998-06-19,99.3100
1998-06-22,99.7600
1998-06-23,100.1600
1998-06-24,100.4600
1998-06-25,100.3800
1998-06-26,100.8400
1998-06-29,100.9300
1998-06-30,100.4600
1998-07-01,100.7800
1998-07-02,101.2200
1998-07-06,101.0300
1998-07-07,100.9800
1998-07-08,101.1200
1998-07-09,101.8100
1998-07-10,101.3900
1998-07-13,100.8600
1998-07-14,100.8000
1998-07-15,100.6900
1998-07-16,100.0600
1998-07-17,99.8400
1998-07-20,99.7900
1998-07-21,100.2600
1998-07-22,100.4500
1998-07-23,100.2400
1998-07-24,100.0500
1998-07-27,100.3800
1998-07-28,99.6300
1998-07-29,99.8300
1998-07-30,100.4400
1998-07-31,100.5700
1998-08-03,101.0000
1998-08-04,100.3900
1998-08-05,100.1200
1998-08-06,100.4900
1998-08-07,100.9100
1998-08-10,100.7400
1998-08-11,101.0900
1998-08-12,101.2700
1998-08-13,101.0300
