,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,93.26,100.1,110.11,116.54,103.47,86.35,82.7,89.57,84.09,75.82,83.575,77.655,80.538,81.597,80.515,80.955,91.738,99.266,102.709,91.581,95.878,96.35
1,93.31,100.05,108.75,116.75,102.86,85.93,82.65,88.91,84.4,76.2,83.72,78.105,81.093,81.388,80.61,80.806,92.115,98.272,101.528,91.673,95.75,96.702
2,94.49,100.34,108.48,116.97,102.39,86.52,83.24,89.08,84.37,76.12,83.115,77.655,81.321,81.101,80.369,80.98,92.602,98.599,102.209,92.1,95.228,96.996
3,93.65,100.5,108.84,117.23,102.94,85.88,83.72,88.62,84.52,76.46,82.335,77.16,81.163,81.614,80.445,81.162,92.147,98.784,101.909,92.26,95.479,97.162
4,94.22,100.65,109.5,117.39,102.24,85.39,83.36,89.0,84.85,76.0,83.455,77.12,81.135,81.036,80.677,81.135,92.184,99.024,101.996,92.07,94.79,97.078
5,94.54,100.26,109.79,117.33,102.29,85.86,83.07,89.07,85.09,76.04,83.745,76.99,80.25,81.791,79.817,80.754,92.502,98.978,101.747,91.608,95.12,97.06
6,94.64,100.33,108.95,117.02,101.56,85.78,82.18,88.75,84.82,75.7,84.995,76.885,79.406,81.791,79.611,80.611,92.345,99.155,101.377,90.735,95.266,97.094
7,94.18,100.67,109.32,116.86,101.83,86.32,82.57,89.23,84.74,75.66,85.17,77.48,79.366,81.429,79.54,80.756,92.608,99.02,101.188,90.735,95.207,96.96
8,93.97,101.45,109.99,117.7,101.53,86.87,83.13,88.66,84.85,76.36,85.155,77.205,79.51,80.822,79.832,81.144,92.89,99.02,101.188,90.146,95.675,97.062
9,94.69,101.79,110.04,117.95,101.69,88.05,83.11,88.94,84.76,76.3,84.835,77.65,79.16,80.405,79.854,81.021,92.89,99.036,100.32,90.313,95.677,97.359
10,94.61,101.65,110.77,118.19,101.12,87.93,83.46,89.08,84.73,76.5,85.365,78.5,78.811,80.406,79.711,81.362,93.349,99.174,100.918,90.297,95.713,97.359
11,94.41,101.46,109.89,117.86,100.89,86.98,83.64,89.08,84.68,76.98,86.865,78.515,78.984,79.934,80.116,81.362,93.14,99.128,101.144,90.37,95.993,97.294
12,94.61,101.15,110.65,118.0,100.95,86.6,83.93,89.21,84.84,76.54,86.515,78.43,78.37,80.026,80.116,81.226,94.362,99.651,100.69,90.191,95.993,97.295
13,94.44,101.51,110.21,118.05,100.47,86.09,83.34,88.78,84.48,76.575,86.13,78.35,78.193,79.717,79.973,81.305,95.053,99.406,100.13,89.915,95.959,97.484
14,94.65,101.96,110.28,118.84,100.53,86.85,83.27,87.77,84.74,75.87,86.19,78.61,78.145,79.513,79.99,80.525,95.115,99.133,100.339,89.011,95.772,97.65
15,94.67,102.15,111.72,118.96,100.17,87.51,84.07,87.88,84.95,76.115,85.205,78.87,78.035,79.011,80.007,80.541,94.25,98.954,100.019,89.227,96.297,97.767
16,94.61,102.26,111.6,120.18,99.45,86.54,83.37,88.16,85.11,75.7,84.93,79.1,77.854,79.302,79.82,80.612,94.727,98.539,100.375,88.891,95.465,97.835
17,95.64,103.03,111.48,120.33,99.54,87.24,83.47,88.46,84.94,75.665,85.21,79.65,78.28,79.417,79.868,80.657,95.011,99.652,100.526,89.131,95.424,97.819
18,95.7,104.34,111.82,119.89,99.74,87.82,83.53,89.19,84.86,75.14,85.755,79.42,77.865,79.033,79.624,80.581,94.998,99.028,100.414,88.999,95.516,97.706
19,96.04,104.97,110.97,120.05,99.53,87.42,83.64,89.28,84.43,75.285,86.46,79.18,77.193,79.11,79.326,81.193,94.734,98.893,99.481,88.954,95.031,97.213
20,96.22,104.77,110.53,120.59,99.75,87.79,83.47,88.81,84.46,75.565,86.48,79.55,77.278,79.057,79.226,81.403,93.724,97.301,99.608,88.505,95.304,97.625
21,95.68,104.58,109.68,119.98,100.14,86.98,83.55,89.37,84.79,75.47,85.43,80.075,77.867,79.186,79.135,81.11,94.165,96.487,99.788,89.036,95.3,97.809
22,95.93,103.7,110.3,119.09,100.12,87.02,84.03,89.25,84.92,76.285,86.075,80.595,78.157,78.675,79.573,81.224,93.732,97.054,99.842,89.405,95.57,98.158
23,95.59,104.2,109.95,119.6,99.29,87.12,84.45,89.74,84.64,76.3,86.36,80.44,78.122,78.734,79.533,81.129,94.851,96.581,99.865,89.451,95.817,98.381
24,96.14,104.54,110.8,119.55,99.9,86.2,85.1,90.18,84.61,77.12,85.645,79.99,78.094,78.652,79.767,81.002,94.582,96.094,100.245,90.118,96.152,98.571
25,95.99,104.12,110.92,119.27,99.69,86.17,85.14,90.13,84.54,76.82,85.05,80.14,77.721,79.226,80.257,80.758,94.853,95.936,100.264,90.116,96.289,98.714
26,96.18,103.63,112.09,119.2,99.77,86.04,85.07,90.32,84.75,76.735,86.135,80.1,78.327,79.045,80.316,80.727,95.09,95.619,100.647,90.334,96.416,98.594
27,95.94,104.05,111.54,118.66,100.48,85.36,84.57,90.18,85.0,76.45,86.125,80.41,78.565,79.694,80.389,80.704,94.198,95.982,100.791,90.096,96.857,98.922
28,96.68,104.12,111.17,118.42,100.62,85.47,84.61,90.47,84.59,76.53,86.905,80.435,78.717,79.783,80.163,80.741,94.279,95.982,100.95,89.592,96.503,98.958
29,96.28,104.63,111.97,118.96,100.73,85.68,84.0,90.43,84.06,76.24,86.325,79.755,78.66,79.455,80.167,80.378,94.279,96.875,101.233,89.005,96.938,99.003
30,96.59,104.61,112.03,118.57,99.72,85.58,83.6,90.44,83.91,76.21,86.96,80.475,78.277,79.456,80.538,80.179,94.147,96.8,101.164,88.505,96.805,99.003
31,97.22,104.14,113.26,118.77,100.25,85.12,83.72,90.65,83.99,76.38,87.92,80.465,78.065,79.456,80.576,80.179,94.257,96.96,100.43,89.013,96.74,99.333
32,97.07,104.22,112.29,118.88,100.62,86.02,83.48,90.62,84.05,76.075,88.33,80.72,77.72,79.136,80.576,80.046,94.492,96.604,100.951,89.013,96.74,99.597
33,97.26,104.52,111.93,118.48,100.7,86.04,83.52,90.56,84.08,76.22,87.75,80.585,77.745,79.303,80.545,80.186,94.34,97.388,100.951,89.636,96.349,99.776
34,98.34,103.11,112.85,119.07,100.18,87.4,83.55,90.36,84.11,75.65,86.7,80.974,77.823,78.886,81.155,80.316,94.657,97.485,101.355,89.913,96.294,99.188
35,98.49,104.53,113.11,119.26,99.65,87.17,82.41,90.46,84.22,75.575,87.43,81.045,77.506,78.475,81.551,80.27,94.66,97.49,101.194,89.656,96.463,99.284
36,98.73,103.44,113.31,118.63,100.25,86.31,82.666,90.62,83.93,75.585,87.187,81.049,77.224,78.7092,81.585,80.225,94.419,97.3332,101.042,89.733,96.367,98.828
37,99.026,103.916,112.088,119.312,99.74,87.476,82.882,90.276,83.72,74.844,88.39,80.692,77.498,78.495,81.818,80.193,95.594,98.2458,101.07,89.642,96.176,98.8
38,98.426,105.13,112.848,120.11,100.004,88.024,82.638,90.428,83.2,74.373,88.265,81.015,77.173,79.0636,82.024,80.5222,95.649,98.311,101.099,90.049,95.675,98.263
39,98.498,105.062,112.452,119.95,99.866,87.732,82.494,90.372,83.26,73.943,88.622,80.885,77.408,79.169,81.792,80.3948,95.947,98.475,101.065,90.235,95.753,97.845
40,99.38,105.592,112.096,119.68,100.14,88.01,82.78,89.776,83.29,73.99,89.715,80.31,76.994,79.797,82.151,79.844,95.918,98.325,101.68,89.881,95.655,97.046
41,99.18,104.55,111.39,119.98,100.162,89.33,83.09,89.79,83.34,74.065,89.65,80.88,76.785,79.725,82.558,80.226,96.631,97.686,102.104,89.511,95.965,96.902
42,99.55,105.34,111.31,119.38,99.61,89.55,83.3,89.11,83.81,74.04,89.28,80.74,76.706,80.371,82.465,80.331,96.958,97.438,101.433,89.641,96.1,97.101
43,100.14,105.64,111.7,119.09,99.59,89.64,82.49,89.24,83.7,73.85,89.78,80.74,76.779,80.233,82.357,80.265,98.011,97.144,101.525,89.16,96.295,96.588
44,100.09,105.87,111.34,118.47,98.71,88.65,82.75,89.48,83.42,73.395,89.09,80.88,77.065,79.609,82.707,79.808,98.179,97.266,101.685,89.185,96.304,95.785
45,99.53,105.77,111.97,117.28,98.8,88.46,81.93,90.38,83.75,73.47,89.53,80.745,76.994,80.509,82.315,79.867,99.211,97.219,101.951,89.736,97.123,94.744
46,99.37,105.62,111.6,118.47,98.54,88.8,81.58,90.22,83.91,73.425,89.445,80.595,77.557,80.344,82.961,79.894,100.364,96.12,101.718,89.64,96.759,96.279
47,98.8,105.08,111.57,118.24,98.36,89.44,81.52,90.37,83.55,73.69,88.37,80.075,77.055,80.648,82.83,79.845,99.823,96.227,101.107,89.425,96.659,96.442
48,98.28,105.4,112.13,118.29,98.53,88.91,81.39,90.47,83.42,72.815,88.165,80.5,76.635,80.981,82.85,79.719,100.717,96.665,101.195,89.193,96.379,97.654
49,98.93,105.22,113.17,118.46,98.64,89.58,81.92,90.13,83.29,72.485,87.935,79.995,76.656,80.505,83.152,79.755,100.041,96.668,101.574,89.227,95.982,98.904
50,98.75,104.95,113.87,117.8,100.07,89.23,82.13,89.57,83.37,72.105,87.425,79.85,76.986,80.082,82.858,79.568,99.949,95.925,100.575,89.681,96.239,98.152
51,98.4,105.06,114.87,117.66,100.51,89.02,81.58,89.27,82.94,71.955,87.345,80.44,76.34,79.712,82.466,79.519,98.781,94.801,100.185,89.797,96.05,99.804
52,98.33,104.8,115.53,117.95,101.31,89.05,81.81,88.66,83.08,72.04,84.98,80.975,75.971,79.825,82.899,79.544,99.584,95.12,100.115,89.332,95.983,101.543
53,98.43,104.87,115.33,117.94,101.4,88.15,82.1,88.53,82.81,72.62,83.64,80.883,75.655,79.896,83.211,80.133,98.171,95.304,100.234,89.954,95.831,103.605
54,98.87,104.77,114.27,117.64,102.11,88.54,82.84,88.76,82.49,73.23,84.34,81.118,75.673,79.998,82.948,80.353,97.298,95.644,99.614,89.369,95.201,103.502
55,98.73,105.48,115.66,117.92,101.63,88.2,83.35,89.26,82.81,73.43,83.95,82.106,76.046,79.576,82.905,80.261,97.446,96.064,99.468,89.473,95.987,103.24
56,98.69,105.74,116.48,118.51,102.45,88.22,84.01,89.35,83.0,72.69,84.33,82.405,75.888,79.179,82.529,80.079,97.197,96.173,99.563,89.033,96.151,102.247
57,98.89,104.81,116.12,118.53,101.43,89.35,84.11,90.12,82.8,71.88,84.295,81.978,76.485,79.222,82.995,80.088,97.682,95.94,99.442,88.604,96.068,100.997
58,99.28,104.42,115.34,118.61,101.37,89.32,84.61,89.69,82.72,72.04,84.61,81.624,76.376,79.299,83.048,80.169,97.52,95.146,98.973,88.983,96.225,99.453
59,99.99,105.17,115.56,118.91,101.07,89.28,84.3,89.69,82.76,72.105,85.58,81.738,76.502,79.357,83.411,80.252,98.281,94.819,99.549,89.719,96.283,98.537
60,100.21,105.15,116.12,119.06,101.12,88.98,84.25,89.92,82.81,72.165,86.3,81.291,76.357,79.138,83.175,80.335,98.661,94.578,99.836,89.812,96.764,99.281
